UID	ML311	zebularine	BRD.A02303741	importazole	SR8278	elocalcitol	BRD.A05715709	docetaxel	cyclophosphamide	X3.Cl.AHPC	nutlin.3	NVP.231	triptolide	avicin.D	Bax.channel.blocker	CCT036477	erastin	cucurbitacin.I	paclitaxel	hyperforin	brefeldin.A	tigecycline	itraconazole	dexamethasone	teniposide	ML162	necrostatin.1	SN.38	ciclosporin	TGX.221	bleomycin.A2	compound.1B	X968	fluvastatin	PX.12	PD318088	COL.3	YK.4.279	fumonisin.B1	ifosfamide	salermide	BCL.LZH.4	isoevodiamine	lovastatin	BRD.A71883111	blebbistatin	myriocin	IPR.456	NSC23766	oligomycin.A	ML258	ML050	fulvestrant	BRD.A86708339	CID.5951923	FQI.1	thalidomide	temozolomide	BRD.A94377914	cyanoquinoline.11	RITA	tubastatin.A	ML239	LRRK2.IN.1	pyrazolanthrone	BRD.K01737880	ML210	NVP.BSK805	olaparib	LBH.589	BRD.K02251932	parbendazole	BRD.K02492147	QS.11	AT.406	SU11274	HC.067047	azacitidine	foretinib	Merck60	BIBR.1532	BRD.K04800985	BMS.270394	GSK.3.inhibitor.IX	CIL41	triazolothiadiazine	BRD9647	PDMP	LE.135	GSK1059615	narciclasine	AM.580	AA.COCF3	GSK525762A	temsirolimus	SID.26681509	linsitinib	C6.ceramide	BRD.K09344309	GANT.61	KU.0060648	BRD.K09587429	FGIN.1.27	PRL.3.inhibitor.I	dabrafenib	avrainvillamide	GW.405833	B02	SR.II.138A	BRD.K11533227	PF.184	CIL56	AT7867	NVP.BEZ235	trametinib	TG.101348	valdecoxib	procarbazine	ciclopirox	BMS.754807	BMS.345541	dinaciclib	BRD.K13999467	BRD.K14844214	R428	gemcitabine	NVP.ADW742	PRIMA.1	phloretin	obatoclax	BRD.K16147474	CHIR.99021	PLX.4720	regorafenib	sotrastaurin	BRD.K17060750	bendamustine	SCH.79797	HLI.373	indisulam	belinostat	staurosporine	birinapant	MK.0752	BRD.K19103580	gossypol	prochlorperazine	sitagliptin	SGX.523	saracatinib	lapatinib	erismodegib	MST.312	CIL70	tamatinib	SKI.II	KW.2449	RO4929097	simvastatin	STF.31	BRD8899	CR.1.31B	X1S.3R.RSL.3	sorafenib	piperlongumine	SCH.529074	ETP.46464	BRD.K24690302	FSC231	fluorouracil	KU.55933	OSI.930	CD.1530	austocystin.D	BRD.K26531177	PD.153035	cytochalasin.B	BIX.01294	BRD.K27224038	leptomycin.B	lomeguatrib	BRD.K27986637	TW.37	AZD4547	brivanib	BRD.K28456706	CD.437	BRD.K29086754	BRD.K29313308	PIK.93	chlorambucil	NSC30930	axitinib	KX2.391	BRD.K30019337	Compound.1541A	BRD.K30748066	VU0155056	ceranib.2	VER.155008	AGK.2	cytarabine.hydrochloride	BRD.K33199242	tivantinib	BRD.K33514849	isoliquiritigenin	clofarabine	BRD.K34099515	cimetidine	BRD.K34222889	BRD.K34485477	BMS.536924	FQI.2	dacarbazine	BRD.K35604418	ouabain	BRD6340	darinaparsin	niclosamide	KU.60019	I.BET151	StemRegenin.1	NPC.26	BRD.K37390332	SB.525334	PF.3758309	etoposide	LY.2183240	nakiterpiosin	ML031	NSC19630	lenvatinib	NSC.74859	BRD.K41334119	BRD.K41597374	palmostatin.B	BRD.K42260513	sunitinib	myricetin	SNS.032	MLN2480	PF.4800567.hydrochloride	WP1130	BRD.K44224150	ML083	pandacostat	ELCPK	betulinic.acid	BRD.K45681478	NSC48300	IU1	BMS.195614	CIL55	Ki8751	GMX.1778	Repligen.136	SR1001	BRD.K48334597	BRD.K48477130	nintedanib	GSK2636771	BRD.K49290616	dasatinib	PRIMA.1.Met	abiraterone	sildenafil	NVP.TAE684	necrostatin.7	canertinib	HBX.41108	BRD.K50799972	BRD.K51490254	cabozantinib	TPCA.1	CAY10576	BRD.K51831558	BRD.K52037352	cerulenin	tacedinaline	methylstat	AZD7545	GDC.0941	JW.55	tivozanib	BEC	SRT.1720	neuronal.differentiation.inducer.III	ruxolitinib	MK.1775	JQ.1	WAY.362450	BYL.719	BRD.K55116708	SZ4TA2	rigosertib	isonicotinohydroxamic.acid	epigallocatechin.3.monogallate	topotecan	MGCD.265	ABT.737	PLX.4032	selumetinib	marinopyrrole.A	AT13387	daporinad	AZD6482	AZ.3146	DBeQ	VX.680	bardoxolone.methyl	methotrexate	mitomycin	ML029	serdemetan	MG.132	PYR.41	CAL.101	Mdivi.1	BRD.K61166597	SB.225002	CAY10594	Compound.7d.cis	SB.743921	ABT.199	neopeltolide	BRD1835	BRD.K70511574	tipifarnib.P2	ZSTK474	tipifarnib.P1	BRD.K63431240	barasertib	gefitinib	necrosulfonamide	MI.1	apicidin	BRD.K64610608	tretinoin	Ko.143	TG.100.115	PHA.793887	BI.2536	semagacestat	AZD1480	afatinib	KH.CB19	BRD.K66453893	BRD.K66532283	pifithrin.alpha	Compound.23.citrate	SB.431542	KU.0063794	GDC.0879	pevonedistat	PI.103	MK.2206	NSC95397	BRD8958	alvocidib	tacrolimus	ISOX	AZD8055	CIL55A	ibrutinib	erlotinib	ML312	masitinib	SNX.2112	KPT185	Ch.55	N9.isopropylolomoucine	BRD.K71781559	BRD.K71935468	QW.BI.011	WZ4002	BRD1812	purmorphamine	BIRB.796	curcumin	UNC0321	NSC632839	pazopanib	BRD.K75293299	alisertib	XL765	IC.87114	JW.74	omacetaxine.mepesuccinate	YM.155	A.804598	EX.527	vandetanib	entinostat	LY.2157299	crizotinib	BRD.K78574327	manumycin.A	MLN2238	GSK4112	KHS101	PF.573228	decitabine	PF.543	BRD.K80183349	ML203	etomoxir	vorinostat	silmitasertib	tanespimycin	ML320	nilotinib	parthenolide	WZ8040	vincristine	navitoclax	PF.750	CAY10618	PL.DI	skepinone.L	nelarabine	CBB.1007	BRD.K84807411	sirolimus	spautin.1	BRD.K85133207	neratinib	AZD7762	BRD.K86535717	BRD4132	bafilomycin.A1	UNC0638	cediranib	OSI.027	veliparib	L.685458	momelotinib	istradefylline	fingolimod	bortezomib	CI.976	BRD.K88742110	tandutinib	BRD9876	RG.108	ML006	trifluoperazine	BRD.K90370028	GW.843682X	pitstop2	bosutinib	MI.2	O.6.benzylguanine	doxorubicin	tosedostat	GSK461364	bexarotene	imatinib	BRD.K92856060	SMER.3	PAC.1	SJ.172550	RAF265	AC55649	ML334.diastereomer	vorapaxar	tamoxifen	quizartinib	CHM.1	BRD.K94991378	VAF.347	BRD.K96431673	pifithrin.mu	BRD.K96970199	BRD.K97651142	GSK.J4	X16.beta.bromoandrosterone	pluripotin	BRD.K99006945	JW.480	linifanib	BRD.M00053801
769P	resistant	resistant	resistant	resistant	NA	sensitive	NA	NA	resistant	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	sensitive	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	NA	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	sensitive	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	sensitive	NA	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA
786O	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA	NA	resistant	NA	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	NA	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant
A204	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	resistant	NA	sensitive	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	NA	resistant	resistant	NA	resistant	sensitive	resistant	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	sensitive	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA	NA	sensitive	NA	resistant	resistant	sensitive	sensitive	resistant	sensitive	resistant	resistant	resistant	resistant	NA	NA	resistant	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	NA	resistant	resistant	resistant	sensitive	sensitive	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	sensitive	NA	NA	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	resistant	NA	resistant	sensitive	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	NA	sensitive	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	sensitive	NA	sensitive	sensitive	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	sensitive	NA	resistant	resistant	sensitive	sensitive	resistant	resistant	resistant	sensitive	resistant	NA	resistant	resistant	NA	sensitive	sensitive	sensitive	sensitive	resistant	NA	resistant	sensitive	resistant	resistant	sensitive	resistant	NA	resistant	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	NA	resistant	NA	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	sensitive	resistant	sensitive	sensitive	sensitive	resistant	resistant	NA	resistant	sensitive	resistant	NA	resistant	resistant	sensitive	sensitive	resistant	resistant	sensitive	sensitive	sensitive	NA	resistant	resistant	NA	sensitive	sensitive	resistant	sensitive	sensitive	NA	sensitive	sensitive	resistant	resistant	NA	sensitive	sensitive	resistant	NA	sensitive	NA	NA	resistant	resistant	sensitive	sensitive	sensitive	resistant	resistant	sensitive	resistant	sensitive	resistant	NA	resistant	resistant	sensitive	resistant	sensitive	NA	sensitive	NA	resistant	sensitive	resistant	resistant	resistant	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	NA	resistant	sensitive	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	NA	sensitive	resistant	NA	sensitive	sensitive	resistant	sensitive	resistant	resistant	NA	resistant	resistant	sensitive	resistant	sensitive	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	sensitive	resistant	sensitive	resistant	resistant	sensitive	resistant	NA	resistant	resistant	NA	sensitive	resistant	sensitive	sensitive	resistant	resistant	resistant	NA	resistant	sensitive	resistant	sensitive	sensitive	sensitive	resistant	sensitive	NA	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	sensitive	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	resistant	sensitive	NA	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	resistant	sensitive	resistant	sensitive	resistant	sensitive	sensitive	resistant	resistant	resistant	NA	resistant	NA	resistant	sensitive	sensitive	resistant	resistant	resistant	sensitive	resistant
A2058	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA	sensitive	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	NA	NA	resistant	NA	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	sensitive	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	NA	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	sensitive	resistant	NA	sensitive	resistant	resistant	resistant	NA	resistant	resistant	resistant	NA	resistant	NA	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	resistant	NA	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	NA	resistant	NA	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	resistant	NA	NA	resistant	NA	resistant	NA	resistant	resistant	sensitive	resistant	resistant	NA
A2780	sensitive	sensitive	resistant	sensitive	NA	resistant	NA	NA	resistant	resistant	sensitive	sensitive	sensitive	NA	sensitive	sensitive	resistant	resistant	sensitive	sensitive	sensitive	sensitive	sensitive	resistant	sensitive	resistant	resistant	sensitive	NA	sensitive	sensitive	resistant	NA	resistant	resistant	resistant	resistant	sensitive	resistant	NA	resistant	NA	sensitive	sensitive	sensitive	NA	NA	resistant	resistant	sensitive	sensitive	resistant	NA	NA	resistant	resistant	NA	resistant	resistant	sensitive	sensitive	resistant	sensitive	resistant	sensitive	NA	NA	resistant	sensitive	resistant	NA	sensitive	resistant	NA	sensitive	sensitive	sensitive	resistant	sensitive	sensitive	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	sensitive	sensitive	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	NA	sensitive	NA	sensitive	resistant	resistant	resistant	NA	resistant	resistant	sensitive	sensitive	NA	resistant	sensitive	resistant	resistant	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	resistant	resistant	sensitive	NA	NA	sensitive	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	NA	sensitive	sensitive	resistant	resistant	resistant	resistant	resistant	NA	sensitive	resistant	NA	resistant	sensitive	resistant	sensitive	resistant	resistant	resistant	resistant	resistant	NA	resistant	resistant	NA	sensitive	sensitive	sensitive	sensitive	NA	NA	sensitive	resistant	sensitive	resistant	sensitive	resistant	NA	resistant	NA	resistant	sensitive	resistant	resistant	resistant	resistant	NA	NA	NA	sensitive	NA	NA	sensitive	NA	resistant	sensitive	resistant	sensitive	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	sensitive	resistant	sensitive	NA	sensitive	sensitive	sensitive	sensitive	resistant	sensitive	resistant	NA	sensitive	resistant	NA	resistant	resistant	sensitive	NA	NA	sensitive	NA	resistant	resistant	NA	sensitive	sensitive	sensitive	resistant	resistant	NA	sensitive	resistant	resistant	resistant	NA	NA	sensitive	resistant	NA	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	NA	resistant	resistant	NA	resistant	resistant	resistant	sensitive	sensitive	sensitive	resistant	resistant	NA	resistant	sensitive	resistant	resistant	sensitive	resistant	sensitive	resistant	NA	resistant	resistant	sensitive	resistant	sensitive	resistant	resistant	resistant	resistant	NA	NA	sensitive	sensitive	resistant	NA	sensitive	resistant	resistant	sensitive	NA	NA	resistant	resistant	sensitive	sensitive	sensitive	resistant	sensitive	sensitive	resistant	NA	resistant	sensitive	sensitive	sensitive	sensitive	resistant	sensitive	resistant	NA	resistant	resistant	resistant	sensitive	sensitive	sensitive	sensitive	sensitive	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	sensitive	sensitive	NA	resistant	NA	resistant	resistant	sensitive	resistant	resistant	resistant	NA	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	NA	resistant	sensitive	sensitive	resistant	resistant	resistant	resistant	resistant	NA	sensitive	sensitive	resistant	NA	resistant	resistant	resistant	resistant	resistant	resistant	NA	sensitive	NA	sensitive	resistant	sensitive	sensitive	sensitive	resistant	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	resistant	NA	sensitive	sensitive	resistant	sensitive	resistant	NA	resistant	NA	NA	sensitive	resistant	resistant	resistant	resistant	NA	sensitive	NA	resistant	NA	sensitive	resistant	resistant	NA	NA	resistant	resistant	resistant	sensitive	resistant	sensitive	resistant	sensitive	resistant	NA	resistant	resistant	resistant	NA	NA	sensitive	resistant	sensitive	resistant	resistant	resistant	sensitive	resistant	resistant	NA	resistant	resistant	resistant	resistant	sensitive	resistant	resistant	resistant	NA	sensitive	NA	resistant	NA	sensitive	resistant	NA	resistant	resistant	sensitive
